source,section,title,url,category,status,words,modified
Freshdesk,Category,General,https://mjolnirucph-help.freshdesk.com/support/solutions/154000111877,Getting Started,keep,,
Freshdesk,Folder,About,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000309467,Getting Started,keep,,
Freshdesk,Category,Software/modules,https://mjolnirucph-help.freshdesk.com/support/solutions/154000114002,Software,keep,,
Freshdesk,Folder,Software,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000290876,Software,keep,,
Freshdesk,Category,Computational jobs,https://mjolnirucph-help.freshdesk.com/support/solutions/154000114003,Job Submission,keep,,
Freshdesk,Folder,Queues and QoS,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000747309,Slurm,keep,,
Freshdesk,Category,Databases,https://mjolnirucph-help.freshdesk.com/support/solutions/154000114625,Databases,keep,,
Freshdesk,Folder,Databases,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000309474,Databases,keep,,
Freshdesk,Category,VPN access and login,https://mjolnirucph-help.freshdesk.com/support/solutions/154000115373,Login & VPN,keep,,
Freshdesk,Folder,VPN access,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000288335,Login & VPN,keep,,
Freshdesk,Folder,SSH,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000288351,Login & VPN,keep,,
Freshdesk,Category,Hardware,https://mjolnirucph-help.freshdesk.com/support/solutions/154000115386,Hardware,keep,,
Freshdesk,Folder,Hardware,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000288372,Hardware,keep,,
Freshdesk,Category,Project folder and data,https://mjolnirucph-help.freshdesk.com/support/solutions/154000123813,Storage,keep,,
Freshdesk,Folder,Project/data folders,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000309468,Storage,keep,,
Freshdesk,Folder,Backup,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000309500,Storage,keep,,
Freshdesk,Folder,Data Transfer,https://mjolnirucph-help.freshdesk.com/support/solutions/folders/154000314011,Storage,keep,,
